snapshot_date,product_id,stock_on_hand,units_received,units_sold,stockout_days,days_of_supply,fill_rate,stockout_flag,overstock_flag,reorder_flag,sell_through_rate,product_name,category,segment,year,month
2021-07-31,8,95,4,4,2,712.5,0.9333,1,1,0,0.0404,DragonWear MA-08,Casual,All-weather,2021,7
2021-08-31,8,95,8,8,2,356.2,0.9333,1,1,0,0.0777,DragonWear MA-08,Casual,All-weather,2021,8
2021-10-31,8,95,4,4,2,712.5,0.9333,1,1,0,0.0404,DragonWear MA-08,Casual,All-weather,2021,10
2021-11-30,8,95,3,3,2,950.0,0.9333,1,1,0,0.0306,DragonWear MA-08,Casual,All-weather,2021,11
2021-12-31,8,95,3,3,2,950.0,0.9333,1,1,0,0.0306,DragonWear MA-08,Casual,All-weather,2021,12
2022-01-31,8,95,3,3,0,950.0,1.0,0,1,0,0.0306,DragonWear MA-08,Casual,All-weather,2022,1
2022-02-28,8,95,4,4,0,712.5,1.0,0,1,0,0.0404,DragonWear MA-08,Casual,All-weather,2022,2
2022-03-31,8,96,8,7,1,411.4,0.9667,1,1,0,0.068,DragonWear MA-08,Casual,All-weather,2022,3
2022-04-30,8,98,9,7,1,420.0,0.9667,1,1,0,0.0667,DragonWear MA-08,Casual,All-weather,2022,4
2022-05-31,8,99,11,10,1,297.0,0.9667,1,1,0,0.0917,DragonWear MA-08,Casual,All-weather,2022,5
2022-06-30,8,101,12,10,2,303.0,0.9333,1,1,0,0.0901,DragonWear MA-08,Casual,All-weather,2022,6
2022-07-31,8,101,5,5,0,606.0,1.0,0,1,0,0.0472,DragonWear MA-08,Casual,All-weather,2022,7
2022-08-31,8,101,5,5,2,606.0,0.9333,1,1,0,0.0472,DragonWear MA-08,Casual,All-weather,2022,8
2022-09-30,8,101,2,2,1,1515.0,0.9667,1,1,0,0.0194,DragonWear MA-08,Casual,All-weather,2022,9
2022-11-30,8,101,1,1,2,3030.0,0.9333,1,1,0,0.0098,DragonWear MA-08,Casual,All-weather,2022,11
2022-12-31,8,101,1,1,2,3030.0,0.9333,1,1,0,0.0098,DragonWear MA-08,Casual,All-weather,2022,12
2018-08-31,9,19,7,6,1,95.0,0.9667,1,1,0,0.24,DragonWear MA-09,Casual,All-weather,2018,8
2018-09-30,9,21,21,19,1,33.2,0.9667,1,0,0,0.475,DragonWear MA-09,Casual,All-weather,2018,9
2018-10-31,9,26,29,24,3,32.5,0.9,1,0,0,0.48,DragonWear MA-09,Casual,All-weather,2018,10
2018-11-30,9,27,6,5,1,162.0,0.9667,1,1,0,0.1562,DragonWear MA-09,Casual,All-weather,2018,11
2018-12-31,9,27,6,6,2,135.0,0.9333,1,1,0,0.1818,DragonWear MA-09,Casual,All-weather,2018,12
2019-01-31,9,29,11,9,0,96.7,1.0,0,1,0,0.2368,DragonWear MA-09,Casual,All-weather,2019,1
